"パケット","シーケンス","間隔 (ms)","ジッタ (ms)","Skew","帯域","マーカー","状態"
"127.0.0.1:6000 → 127.0.0.1:6000 (0xca110000)"
5,0,0,0,0,1.6,"","OK"
8,1,14.863,0.32106250000000025,5.1370000000000005,3.2,"","OK"
10,2,31.002999999999997,0.9886835937499998,-5.866,4.8,"","OK"
12,3,15.247000000000007,1.2239533691406248,-1.1129999999999995,6.4,"","OK"
14,4,16.075999999999993,1.3927062835693362,2.811000000000007,8,"","OK"
15,5,14.689000000000007,1.6375996408462523,8.122,9.6,"","OK"
18,6,31.471000000000004,2.2521871632933617,-3.3490000000000038,11.2,"","OK"
19,7,15.320999999999998,2.4038629655875265,1.329999999999984,12.8,"","OK"
21,8,15.018,2.564996530238306,6.311999999999983,14.4,"","OK"
23,9,31.861999999999995,3.1460592470984117,-5.550000000000011,16,"","OK"
25,10,15.740000000000009,3.2156805441547602,-1.2900000000000205,17.6,"","OK"
27,11,15.507999999999981,3.295450510145089,3.201999999999998,19.2,"","OK"
29,12,15.919000000000011,3.3445473532610204,7.282999999999987,20.8,"","OK"
31,13,31.92799999999997,3.8810131436822064,-4.644999999999982,22.4,"","OK"
33,14,15.414000000000044,3.925074822202066,-0.05900000000002592,24,"","OK"
35,15,15.902999999999963,3.9358201458144393,4.038000000000011,25.6,"","OK"
37,16,15.064000000000021,3.9983313867010355,8.97399999999999,27.2,"","OK"
39,17,31.23399999999998,4.45056067503222,-2.259999999999991,28.8,"","OK"
41,18,15.736000000000047,4.438900632842703,2.0039999999999623,30.4,"","OK"
43,19,15.07899999999995,4.469031843290037,6.925000000000011,32,"","OK"
45,20,31.640000000000043,4.917217353084412,-4.715000000000032,33.6,"","OK"
47,21,15.233000000000004,4.907828768516636,0.051999999999964075,35.2,"","OK"
49,22,15.448999999999955,4.885526970484349,4.603000000000009,36.8,"","OK"
52,23,30.971000000000004,5.265869034829078,-6.367999999999995,38.4,"","OK"
53,24,15.802999999999997,5.19906472015226,-2.1709999999999923,40,"","OK"
55,25,15.163000000000068,5.176435675142736,2.66599999999994,41.6,"","OK"
57,26,15.920999999999935,5.107845945446319,6.7450000000000045,43.2,"","OK"
60,27,30.534999999999968,5.447043073855922,-3.7899999999999636,44.8,"","OK"
62,28,15.369000000000028,5.396040381739925,0.8410000000000082,46.4,"","OK"
63,29,15.562999999999988,5.336100357881181,5.27800000000002,48,"","OK"
66,30,29.979000000000042,5.62628158551361,-4.701000000000022,49.6,"","OK"
67,31,15.178999999999974,5.575951486419011,0.12000000000000455,51.2,"","OK"
69,32,15.365999999999985,5.517079518517823,4.754000000000019,52.8,"","OK"
71,33,16.022000000000048,5.420887048610457,8.731999999999971,54.4,"","OK"
73,34,30.71799999999996,5.751956608072301,-1.98599999999999,56,"","OK"
75,35,14.893000000000029,5.71164682006778,3.120999999999981,57.6,"","OK"
77,36,16.020999999999958,5.603356393813546,7.100000000000023,59.2,"","OK"
79,37,31.684000000000083,5.983396619200205,-4.58400000000006,60.8,"","OK"
81,38,16.004999999999995,5.859121830500192,-0.5890000000000555,62.4,"","OK"
83,39,15.899000000000001,5.7492392160939305,3.5119999999999436,64,"","OK"
85,40,15.995999999999981,5.640161765088061,7.515999999999963,65.6,"","OK"
88,41,31.024,5.976651654770057,-3.508000000000038,67.2,"","OK"
89,42,15.613999999999919,5.877235926346934,0.8780000000000427,68.8,"","OK"
91,43,15.328000000000088,5.801908680950245,5.5499999999999545,70.4,"","OK"
94,44,31.485000000000014,6.157101888390855,-5.935000000000059,72,"","OK"
95,45,15.894999999999982,6.028845520366428,-1.830000000000041,73.6,"","OK"
97,46,15.432000000000016,5.937542675343525,2.7379999999999427,75.2,"","OK"
99,47,15.764999999999986,5.8311337581345555,6.972999999999956,76.8,"","OK"
101,48,30.824999999999932,6.1432503982511415,-3.8519999999999754,78.4,"","OK"
103,49,15.389999999999986,6.047422248360446,0.7580000000000382,80,"","OK"
105,50,15.628000000000043,5.942708357837915,5.1299999999999955,81.6,"","OK"
108,51,30.301999999999907,6.21516408547304,-5.171999999999798,80,"","OK"
109,52,15.966000000000122,6.078841330130968,-1.13799999999992,81.6,"","OK"
111,53,15.061999999999898,6.007538746997788,3.800000000000182,81.6,"","OK"
113,54,16.057999999999993,5.878442575310427,7.742000000000189,81.6,"","OK"
115,55,31.451999999999998,6.226789914353525,-3.709999999999809,80,"","OK"
118,56,15.456000000000131,6.121615544706421,0.83400000000006,81.6,"","OK"
119,57,15.087999999999965,6.046014573162272,5.746000000000095,81.6,"","OK"
121,58,31.1099999999999,6.362513662339624,-5.363999999999805,80,"","OK"
123,59,15.827999999999975,6.225606558443399,-1.19199999999978,81.6,"","OK"
125,60,15.350000000000136,6.127131148540678,3.4580000000000837,81.6,"","OK"
127,61,15.007000000000062,6.056247951756881,8.451000000000022,81.6,"","OK"
129,62,30.625999999999976,6.341857454772074,-2.1749999999999545,80,"","OK"
131,63,15.365000000000009,6.2351788638488195,2.4600000000000364,81.6,"","OK"
133,64,15.461999999999989,6.129105184858269,6.998000000000047,81.6,"","OK"
